i-47c2,43.9,42.3,51.1,48.5,48.5
i-47c3,57.2,57.3,79.0,70.1,70.1
i-47c4,231.7,231.4,258.3,110.6,110.6
i-511,195.3,26.6,28.4,21.6,21.6
i-512,1146.3,366.3,349.1,529.0,349.1
i-513,1309.9,1085.9,1627.7,1590.7,1590.7
i-514,5091.8,5352.8,5467.0,7041.9,5467.0
i-51c1,116.5,70.9,53.2,67.1,53.2
i-51c2,449.6,506.8,431.8,413.1,413.1
i-51c3,740.3,1596.1,939.6,1266.4,939.6
i-51c4,2344.2,2304.5,2317.9,2086.8,2086.8
i-541,7.2,3.8,2.8,6.9,2.8
i-542,33.7,14.1,21.3,14.1,14.1
i-543,41.9,15.3,21.9,16.8,16.8
i-544,27.0,26.6,26.6,25.9,25.9
i-54c1,28.5,14.7,15.1,15.7,15.1
i-54c2,22.1,25.1,24.2,21.9,21.9
i-54c3,19.2,22.6,21.1,23.4,21.1
i-54c4,26.7,26.7,17.7,24.0,17.7
i-571,196.9,16.9,20.7,23.5,20.7
i-572,202.9,57.3,65.1,74.5,65.1
i-573,201.2,87.0,52.8,168.7,52.8
i-574,184.6,205.8,204.3,156.0,156.0
i-57c1,108.1,16.9,21.9,26.7,21.9
i-57c2,680.5,134.5,121.1,116.4,116.4
i-57c3,707.9,492.2,532.2,511.2,511.2
i-57c4,586.9,585.3,443.7,528.2,443.7
